City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,dondo,-19.6094,34.7431,71.11,93,0,1.32,MZ,1699828256
329,holualoa,19.6228,-155.9522,79.56,75,40,10.36,US,1699827893
330,bafq,31.6128,55.4107,60.84,30,50,1.25,IR,1699828256
331,constantia,44.1833,28.65,45.7,47,99,9.06,RO,1699827658
332,nichinan,31.6,131.3667,47.88,55,8,11.32,JP,1699828256
333,kyzyl-mazhalyk,51.1333,90.6,6.91,94,100,1.01,RU,1699828256
334,namikupa,-10.8333,39.6,74.17,92,84,3.27,TZ,1699828256
335,klaksvik,62.2266,-6.589,43.72,74,98,20.98,FO,1699828256
336,bereeda,11.8704,51.0579,80.4,78,21,9.71,SO,1699828256
337,ternopil,49.5559,25.6056,38.97,84,100,13.71,UA,1699828256
338,prado,-17.3411,-39.2208,77.2,80,51,16.98,BR,1699827942
339,usol'ye,59.4268,56.6808,32.16,87,100,4.03,RU,1699828256
340,tralee,52.2704,-9.7026,50.32,97,97,5.93,IE,1699827903
341,ambon,-3.6954,128.1814,77.14,94,20,4.61,ID,1699828257
342,al kharijah,25.4514,30.5464,76.24,46,26,8.01,EG,1699828257
343,kingscliff,-28.2667,153.5667,76.95,57,12,12.66,AU,1699827923
344,grand falls-windsor,48.9332,-55.6649,28.51,75,25,5.99,CA,1699827896
345,mpwapwa,-6.35,36.4833,69.93,81,100,3.29,TZ,1699828257
346,qandala,11.472,49.8728,80.33,83,19,7.99,SO,1699828257
347,kirakira,-10.4544,161.9205,80.28,81,100,4.94,SB,1699827914
348,date,42.4681,140.8681,35.29,77,49,11.39,JP,1699827913
349,extrema,-22.8547,-46.3183,75.79,46,100,3.74,BR,1699828257
350,sinabang,2.4803,96.3801,78.57,85,100,4.09,ID,1699827899
351,alaghsas,17.0187,8.0168,76.66,14,0,12.82,NE,1699828008
352,joshimath,30.5667,79.5667,50.45,32,0,7.31,IN,1699828257
353,copala,16.65,-98.9833,85.39,71,8,8.52,MX,1699828132
354,krems an der donau,48.4092,15.6142,38.88,91,100,3.38,AT,1699828257
355,khawr fakkan,25.3313,56.342,73.45,51,38,3.22,AE,1699828257
356,sabang,5.8933,95.3214,82.18,73,99,8.21,ID,1699828257
357,rio gallegos,-51.6226,-69.2181,60.85,29,75,8.05,AR,1699828256
358,selkirk,50.1436,-96.8845,44.67,86,77,15.52,CA,1699828257
359,nouadhibou,20.931,-17.0347,71.58,68,0,11.5,MR,1699828099
360,acarau,-2.8856,-40.12,79.77,74,0,15.57,BR,1699827656
361,woolgoolga,-30.1106,153.2007,73.04,78,59,15.46,AU,1699828258
362,tangalle,6.024,80.7911,75.22,94,100,5.28,LK,1699827973
363,merizo village,13.2658,144.6691,84.97,86,44,20.49,GU,1699828258
